Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I580-E	4	Alameda	Oakland	44.68	60.613		403074	Oakland Ave off	1	Off Ramp	loops	No	DT337	z1-E-33-580-04468
I580-E	4	Alameda	Oakland	44.68	60.613	.365	400203	Kempton St/Fairmont St	4	Mainline	loops	No	DT337	L4-E-33-580-04468
I580-E	4	Alameda	Oakland	44.69	60.623		403075	Harrison St off	1	Off Ramp	loops	No	DT337	z1-E-33-580-04469
I580-E	4	Alameda	Oakland	44.8	60.733	.31	401481	Webster St / 36th	6	Mainline	loops	No	DT338	L6-E-33-580-04480
I580-E	4	Alameda	Oakland	45.3	61.233	.255	401899	MLK Jr. Way	3	Mainline	loops	No	DT340	L3-E-33-580-04530
I580-E	4	Alameda	Oakland	45.31	61.243	.13	400489	West St / 35th St	2	Mainline	loops	No	DT343	L2-E-33-580-04531
I580-E	4	Alameda	Oakland	45.56	61.493	.315	400075	West St off ramp	6	Mainline	loops	No	DT342	L6-E-33-580-04556
I580-E	4	Alameda	Oakland	45.94	61.873	.295	417212	35th St / Peralta UC	5	Mainline	loops	No	DT1B9	L5-E-33-580-04594
I580-E	4	Alameda	Oakland	46.15	62.083	.774	420279	oppo Hollis St	5	Mainline	loops	No	DT644	L5-E-33-580-04615
I580-E	4	Alameda	Oakland	47.49	63.42		408109	Buchanan St off	1	Off Ramp	loops	No	DT639	z1-E-33-580-04749
I580-E	4	Alameda	Oakland	47.49	63.42	1.248	401218	580 EB	2	Mainline	loops	No	DT639	L2-E-33-580-04749
I580-E	4	Alameda	Oakland	47.49	63.42		408108	Buchanan St on	1	On Ramp	loops	No	DT639	a1-W-33-580-04749

