Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I80-W	4	San Francisco	San Francisco	6.84	3.3	3.08	402827	SFOBB S-Curve	5	Mainline	magnetometers	No	DSB14	N5-W-34-080-00684
I80-W	4	San Francisco	San Francisco	8	4.46	.59	414758	YBI Macalla Rd rm-w-loop	5	Mainline	loops	No	DTD61	L5-W-34-080-00800
I80-W	4	San Francisco	San Francisco	8.02	4.48	.065	404918	SFOBB East Span	5	Mainline	loops	No	DTD60	L5-W-34-080-00802
I80-W	4	San Francisco	San Francisco	8.13	4.59	.11	404920	SFOBB East Span	5	Mainline	loops	No	DTD62	L5-W-34-080-00813
I80-W	4	San Francisco	San Francisco	8.24	4.7	.105	404883	SFOBB East Span	5	Mainline	radars	No	DTD43	U5-W-34-080-00824
I80-W	4	San Francisco	San Francisco	8.34	4.8	.105	404922	SFOBB East Span	5	Mainline	radars	No	DTD64	U5-W-34-080-00834
I80-W	4	San Francisco	San Francisco	8.45	4.91	.145	404884	SFOBB East Span	5	Mainline	radars	No	DTD45	U5-W-34-080-00845
I80-W	4	San Francisco	San Francisco	8.63	5.09	.14	404905	SFOBB East Span	5	Mainline	loops	No	DTD66	L5-W-34-080-00863
I80-W	4	San Francisco	San Francisco	8.73	5.19	.095	404887	SFOBB East Span	5	Mainline	radars	No	DTD47	U5-W-34-080-00873
I80-W	4	San Francisco	San Francisco	8.82	5.28	.165	404907	SFOBB East Span	5	Mainline	loops	No	DTD68	L5-W-34-080-00882
I80-W	4	Alameda	San Francisco	.07	5.38	.07	404888	SFOBB East Span	5	Mainline	radars	No	DTD49	U5-W-33-080-00007
I80-W	4	Alameda	San Francisco	.17	5.48	.175	404909	SFOBB East Span	5	Mainline	loops	No	DTD70	L5-W-33-080-00017
I80-W	4	Alameda	Oakland	.36	5.67	.145	404890	SFOBB East Span	5	Mainline	radars	No	DTD51	U5-W-33-080-00036
I80-W	4	Alameda	Oakland	.46	5.77	.1	404911	SFOBB East Span	5	Mainline	loops	No	DTD72	L5-W-33-080-00046
I80-W	4	Alameda	Oakland	.56	5.87	.115	404893	SFOBB East Span	5	Mainline	radars	No	DTD53	U5-W-33-080-00056
I80-W	4	Alameda	Oakland	.69	6	.14	404913	SFOBB East Span	5	Mainline	loops	No	DTD74	L5-W-33-080-00069
