Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I880-N	4	Alameda	Oakland	30.96	41.187	1.16	408138	Oak St off-n-diag	4	Mainline	loops	No	DT405	L4-N-33-880-03096
I880-N	4	Alameda	Oakland	31.42	41.647	.57	400980	Jackson St rm-n-diag	4	Mainline	loops	No	DT406	L4-N-33-880-03142
I880-N	4	Alameda	Oakland	32.1	42.327	.44	401333	Adeline St rm-s-diag	4	Mainline	loops	No	DT813	L4-N-33-880-03210
I880-N	4	Alameda	Oakland	32.3	42.527	.105	404746	Adeline St/Magnolia on ramp	4	Mainline	loops	No	DT808	L4-N-33-880-03230
I880-N	4	Alameda	Oakland	32.31	42.537	.425	401142	Market / 5th St rm-s-diag	4	Mainline	loops	No	DTA48	L4-N-33-880-03231
I880-N	4	Alameda	Oakland	R33.15	43.377	.52	400218	2400' S of 7th St	4	Mainline	loops	No	DT332	L4-N-33-880-03315
I880-N	4	Alameda	Oakland	R33.35	43.577	.325	400983	oppo 7th St rm-s-diag	3	Mainline	loops	No	DT587	L3-N-33-880-R3335
I880-N	4	Alameda	Oakland	R33.8	44.027	.725	400765	1400' N of 7th St	4	Mainline	loops	No	DT630	L4-N-33-880-03380
I880-N	4	Alameda	Oakland	34.8	45.027	.55	400844	W Grand Ave rm-n-diag	2	Mainline	loops	No	DT331	L2-N-33-880-03480
I880-N	4	Alameda	Oakland	R34.9	45.127	.15	400923	2000' N of W Grand Ave	4	Mainline	loops	No	DT357	L4-N-33-880-03490
I880-N	4	Alameda	Oakland	35.1	45.327	.15	401143	34TH & WOOD ST	2	Mainline	loops	No	DT081	L2-N-33-880-03510
I880-N	4	Alameda	Oakland	R35.2	45.427	.647	401471	Maritime on-w-diag	4	Mainline	loops	No	DT623	L4-N-33-880-03520

