Hour	Speed (mph)	# Lane Points	% Observed
04/21/2018 00:00	66.6	48	100.0
04/21/2018 01:00	64.8	48	100.0
04/21/2018 02:00	68.2	48	100.0
04/21/2018 03:00	67.9	48	100.0
04/21/2018 04:00	65.5	48	100.0
04/21/2018 05:00	66.7	48	100.0
04/21/2018 06:00	68.0	48	100.0
04/21/2018 07:00	68.3	48	100.0
04/21/2018 08:00	68.1	48	83.3
04/21/2018 09:00	64.8	48	100.0
04/21/2018 10:00	65.9	48	100.0
04/21/2018 11:00	65.5	48	100.0
04/21/2018 12:00	64.3	48	100.0
04/21/2018 13:00	64.2	48	100.0
04/21/2018 14:00	63.7	48	100.0
04/21/2018 15:00	62.9	48	100.0
04/21/2018 16:00	63.9	48	100.0
04/21/2018 17:00	64.1	48	100.0
04/21/2018 18:00	64.3	48	100.0
04/21/2018 19:00	64.6	48	100.0
04/21/2018 20:00	62.7	48	100.0
04/21/2018 21:00	66.7	48	100.0
04/21/2018 22:00	67.7	48	100.0
04/21/2018 23:00	68.0	48	100.0

