5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Speed (mph)	# Lane Points	% Observed
04/20/2018 00:00	76.5	79.6	74.6	71.8	64.5	74.0	5	100.0
04/20/2018 00:05	76.4	77.8	70.5	74.7	67.7	73.7	5	100.0
04/20/2018 00:10	76.1	76.1	71.3	68.8	68.5	72.2	5	100.0
04/20/2018 00:15	76.3	76.0	72.3	70.3	69.4	72.8	5	100.0
04/20/2018 00:20	76.1	76.7	68.2	71.0	64.3	72.0	5	100.0
04/20/2018 00:25	78.4	80.6	69.6	70.6	61.7	72.5	5	100.0
04/20/2018 00:30	78.3	78.9	68.8	70.5	62.1	72.2	5	100.0
04/20/2018 00:35	78.5	79.2	73.8	68.8	63.6	73.3	5	100.0
04/20/2018 00:40	78.0	48.7	74.3	71.6	64.1	67.0	5	100.0
04/20/2018 00:45	72.3	60.9	70.3	67.3	63.8	66.9	5	100.0
04/20/2018 00:50	75.2	68.4	72.6	70.8	66.0	70.7	5	100.0
04/20/2018 00:55	75.1	74.8	73.5	68.5	62.6	71.9	5	100.0
04/20/2018 01:00	75.9	76.2	75.7	73.5	64.9	74.0	5	100.0
04/20/2018 01:05	74.4	69.0	72.9	72.6	65.9	71.3	5	100.0
04/20/2018 01:10	75.8	74.1	76.0	72.6	65.9	73.3	5	100.0
04/20/2018 01:15	75.8	75.7	73.6	69.4	64.3	72.2	5	100.0
04/20/2018 01:20	76.6	78.2	72.6	63.3	65.0	71.2	5	100.0
04/20/2018 01:25	77.0	77.0	74.9	68.9	64.5	72.8	5	100.0
04/20/2018 01:30	77.3	76.1	65.9	68.6	65.9	70.5	5	100.0
04/20/2018 01:35	77.3	76.2	71.7	70.5	65.5	72.1	5	100.0
04/20/2018 01:40	75.7	74.7	70.6	68.3	65.2	71.0	5	100.0
04/20/2018 01:45	76.5	76.3	72.7	67.6	64.0	72.0	5	100.0
04/20/2018 01:50	77.2	76.3	71.7	67.2	64.7	71.7	5	100.0
04/20/2018 01:55	77.4	75.8	73.9	66.3	64.1	71.6	5	100.0
04/20/2018 02:00	77.1	75.8	72.6	67.2	65.5	71.7	5	100.0
04/20/2018 02:05	75.8	75.4	72.3	68.5	65.9	71.7	5	100.0
04/20/2018 02:10	76.3	72.7	72.2	71.1	65.6	71.6	5	100.0
04/20/2018 02:15	75.9	73.9	72.5	71.3	64.6	72.3	5	100.0
04/20/2018 02:20	76.2	73.1	74.1	73.2	65.2	72.9	5	100.0
04/20/2018 02:25	76.2	73.7	74.2	73.1	65.0	72.7	5	100.0
04/20/2018 02:30	76.5	73.7	73.7	72.3	63.5	72.1	5	100.0
04/20/2018 02:35	76.9	73.5	73.0	68.6	63.8	71.2	5	100.0
