"freeway","direction","name"
"10","E","I10-E"
"10","W","I10-W"
"105","E","I105-E"
"105","W","I105-W"
"942","E","I10S-E"
"942","W","I10S-W"
"110","N","I110-N"
"110","S","I110-S"
"15","N","I15-N"
"15","S","I15-S"
"943","N","I15S-N"
"943","S","I15S-S"
"205","E","I205-E"
"205","W","I205-W"
"210","E","I210-E"
"210","W","I210-W"
"215","N","I215-N"
"215","S","I215-S"
"280","N","I280-N"
"280","S","I280-S"
"380","E","I380-E"
"380","W","I380-W"
"40","E","I40-E"
"40","W","I40-W"
"405","N","I405-N"
"405","S","I405-S"
"5","N","I5-N"
"5","S","I5-S"
"505","N","I505-N"
"505","S","I505-S"
"580","E","I580-E"
"580","W","I580-W"
"941","N","I5S-N"
"941","S","I5S-S"
"605","N","I605-N"
"605","S","I605-S"
"680","N","I680-N"
"680","S","I680-S"
"710","N","I710-N"
"710","S","I710-S"
"780","E","I780-E"
"780","W","I780-W"
"8","E","I8-E"
"8","W","I8-W"
"80","E","I80-E"
"80","W","I80-W"
"805","N","I805-N"
"805","S","I805-S"
"880","N","I880-N"
"880","S","I880-S"
"948","N","I880S-N"
"948","S","I880S-S"
"905","E","I905-E"
"905","W","I905-W"
"980","E","I980-E"
"980","W","I980-W"
"1","N","SR1-N"
"1","S","SR1-S"
"103","N","SR103-N"
"103","S","SR103-S"
"104","E","SR104-E"
"104","W","SR104-W"
"107","N","SR107-N"
"107","S","SR107-S"
"108","E","SR108-E"
"108","W","SR108-W"
"109","N","SR109-N"
"109","S","SR109-S"
"111","N","SR111-N"
"111","S","SR111-S"
"112","E","SR112-E"
"112","W","SR112-W"
"113","N","SR113-N"
"113","S","SR113-S"
"114","N","SR114-N"
"114","S","SR114-S"
"115","N","SR115-N"
"115","S","SR115-S"
"116","E","SR116-E"
"116","W","SR116-W"
"118","E","SR118-E"
"118","W","SR118-W"
"119","E","SR119-E"
"119","W","SR119-W"
"12","E","SR12-E"
"12","W","SR12-W"
"120","E","SR120-E"
"120","W","SR120-W"
"121","N","SR121-N"
"121","S","SR121-S"
"123","N","SR123-N"
"123","S","SR123-S"
"124","N","SR124-N"
"124","S","SR124-S"
"125","N","SR125-N"
"125","S","SR125-S"
"126","E","SR126-E"
"126","W","SR126-W"
"127","N","SR127-N"
"127","S","SR127-S"
"128","E","SR128-E"
"128","W","SR128-W"
"129","E","SR129-E"
"129","W","SR129-W"
"13","N","SR13-N"
"13","S","SR13-S"
"130","E","SR130-E"
"130","W","SR130-W"
"131","E","SR131-E"
"131","W","SR131-W"
"132","E","SR132-E"
"132","W","SR132-W"
"133","N","SR133-N"
"133","S","SR133-S"
"134","E","SR134-E"
"134","W","SR134-W"
"135","N","SR135-N"
"135","S","SR135-S"
"136","E","SR136-E"
"136","W","SR136-W"
"137","E","SR137-E"
"137","W","SR137-W"
"138","E","SR138-E"
"138","W","SR138-W"
"139","N","SR139-N"
"139","S","SR139-S"
"14","N","SR14-N"
"14","S","SR14-S"
"140","E","SR140-E"
"140","W","SR140-W"
"142","E","SR142-E"
"142","W","SR142-W"
"144","N","SR144-N"
"144","S","SR144-S"
"145","N","SR145-N"
"145","S","SR145-S"
"146","E","SR146-E"
"146","W","SR146-W"
"147","N","SR147-N"
"147","S","SR147-S"
"149","N","SR149-N"
"149","S","SR149-S"
"150","E","SR150-E"
"150","W","SR150-W"
"151","E","SR151-E"
"151","W","SR151-W"
"152","E","SR152-E"
"152","W","SR152-W"
"153","E","SR153-E"
"153","W","SR153-W"
"154","E","SR154-E"
"154","W","SR154-W"
"155","E","SR155-E"
"155","W","SR155-W"
"156","E","SR156-E"
"156","W","SR156-W"
"158","N","SR158-N"
"158","S","SR158-S"
